ID,hivCaseReportNumber,name,fathersName,fathersFatherName,mothersName,mothersFatherName,gender,dob,district,town,PhoneNumber
rec-00000018-bbb-1,RB/PT/RGQ/ZCgrh,Seifu,Ashagre,Gedamu,izaw,Samuel,,,,Abe Dongoro,011-655-0179
rec-00000019-aaa-0,iK/zA/lew/uVPg3,Ahmed,Aminu,Shiferaw,Zekariya,Abebayehu,male,19961109,SNNP,Duguna Fango,011-651-7127
rec-00000020-aaa-0,F3/Oq/q3Z/Q7URe,Fisseha,Takele,Wondimu,Mammo,Yohannes,male,19970825,SNNP,Cheha,011-241-4065
rec-00000020-bbb-0,F3/Oq/q3Z/Q7URe,Fisseha,Takele,Wondimu,Mmmo,Yohannez,male,199y0825,SNNP,Cheha,011-241-40y5
rec-00000020-bbb-1,F3/Oq/q3Z/Q7URe,Fisseha,Takele,ondimu,Mamo,Yohanries,male,19970825,SNNP,Cheha,011-24q-4065
rec-00000021-aaa-0,WY/r0/Eps/wFWog,Tewooros,Teferi,Hakin,Girma,Weyesa,male,19930217,Amhara,Sahila,011-291-2241
rec-00000022-aaa-0,SC/Cv/olB/lEHjK,Wubneh,Nigussie,Abreha,Solomon,Melaku,male,19950717,Sidama,Chabe Gambeltu,011-318-4884
rec-00000023-aaa-0,GX/8h/nGu/PpLcx,Gebrehiwot,Hunegnaw,Gebreeyesus,Meshesha,Girma,male,20000530,Oromia,Robe Town,091-439-4997
rec-00000024-aaa-0,mI/cC/njS/Zt9qa,Lisanu,Teshome,Mekonnen,Ayalew,Getachew,male,20040108,Oromia,Mena (Jimma),034-240-3765
rec-00000025-aaa-0,37/iD/7vN/bNDqv,Tadesse,Fikadu,Sape,Kahsay,Bekele,male,20010703,Oromia,Munessa,091-689-5180
rec-00000026-aaa-0,4V/Kj/YYn/MzQo0,Yishmebet,Genet,Mulat,Mehammed,Kiflie,female,20050716,Amhara,Dessie town,011-114-2272
rec-00000027-aaa-0,sg/ar/CUm/NHE42,Yihenew,Tadesse,Tesfaye,Teshome,Kinfe,male,19921016,Amhara,Enemay,011-655-4861
rec-00000027-bbb-0,sg/ar/CUm/NHE42,Yihenwe,Tadesse,Tesfaye,Tezhome,Kinfe,mals,19921016,Amhara,Enemay,011-6t5-4861
rec-00000028-aaa-0,QQ/rz/unI/YzcCX,Giyorgis,Tilahun,Ashagre,Mekonnen,Anis,male,19940901,Benishangul Gumz,Maokomo Special,011-111-1461
rec-00000028-bbb-0,QQ/rz/unI/YzcCX,Giyorgis,Tilahun,Ashagre,Mekonen,Anis,male,199e0901,Benishangul Gumz,Maokomo Specoal,011-111-q461
rec-00000029-aaa-0,Ql/Sb/xHH/0nAft,Tsedy,Nigussie,Mergo,Wassie,Tigabu,female,20050513,SNNP,Ezha,025-279-1520
rec-00000029-bbb-0,Ql/Sb/xHH/0nAft,Tstedy,igussie,Merko,Wassie,Tigabu,female,20050513,SNNP,Ezha,025-279-1530
rec-00000029-bbb-1,Ql/Sv/xHH/0nAft,Tesdy,Nigussie,Mergo,Wazsie,Tigabu,female,20050513,SNNP,,025-279-1520
rec-00000030-aaa-0,Dq/g9/681/im5E9,Asnake,Fitsum,Zewde,Zewde,Gezaehgn,male,20000409,Amhara,Gonder Zuria,011-114-0631
rec-00000031-aaa-0,fM/qI/B9c/I8cp8,Markos,Deressa,Berhe,Bekabil,Workineh,male,20010512,Oromia,Nejo,011-652-7224
rec-00000031-bbb-0,fM/qI/B9c/I8dp8,Marios,Deressa,Berhe,Bekabil,Workineh,male,20010512,Oromla,Nejo,
rec-00000032-aaa-0,j9/4N/Okm/XQcl3,Alaro,Seyoum,Gebreegziabeher,Gulla,Yitayew,male,20080629,Amhara,Bechena Town,046-026-3968
rec-00000032-bbb-0,j9/4N/Okm/XQcl3,Alaro,Seyoum,Gebreegziaheher,Gula,,,20080629,Amhara,Bechena Town,046-026-3968
rec-00000032-bbb-1,j9/4N/Okm/XQcl3,,Seyoum,,Gulla,Yidayew,male,20080629,Amhara,Bechena Town,
rec-00000033-aaa-0,Nj/8A/k7k/ftswI,Seifu,Meshesha,Worku,Demisachew,Addissie,male,20021130,Oromia,Ada'a,091-463-8224
rec-00000034-aaa-0,sR/0W/qlJ/owuGw,Woldeyes,Mitiku,Kaleb,Yimer,Gebreyohannis,male,19961210,Amhara,Guangua,098-119-1179
rec-00000035-aaa-0,Ha/HN/D4t/PPPak,Debelie,Alemu,Kidane,Yosef,Debesay,male,20000712,Addis Ababa,Yeka,098-111-6570
rec-00000036-aaa-0,bp/3r/apY/iE4YX,Tenkir,Lemma,Kinfu,Shewameskot,Gebrewold,male,19970913,Amhara,Tach Gayint,058-776-4810
rec-00000037-aaa-0,7A/tS/khm/y3186,Tizita,Gebremariam,Lemma,Getu,Solomon,female,20060807,Gambela,Gambela town,011-654-6940
rec-00000038-aaa-0,aj/m1/dvn/biRDZ,Mecha,Dawit,Mengesha,Tadesse,Zeleke,male,19900323,Somali,Gunagado,011-651-8614
rec-00000039-aaa-0,vn/tV/uQd/7uzOy,Nardos,Yohannes,Girma,Oege,Ambaye,male,20040316,Addis Ababa,Gulele,098-119-5453
rec-00000040-aaa-0,2U/r3/s4n/5HTWJ,Gebreegziabher,Garomisa,Yosef,Workineh,Asegachew,male,19940601,Oromia,Adama town,011-652-5298
rec-00000041-aaa-0,Z3/u9/q2Q/0HFwx,Adanech,Adem,Abi,Legesse,Lemma,female,20011211,Amhara,Ebenat,011-114-1607
rec-00000041-bbb-0,Z3/u9/qzQ/0HFwx,Adanech,Adem,Abi,Legesse,Lemma,female,20011211,Ambara,Ebenst,011-114-1608
rec-00000041-bbb-1,,Adanec,Adem,Abi,Lehgesse,Lemma,female,20011211,Ahara,Ebenat,011-114-1607
rec-00000042-aaa-0,ou/yd/LJR/YUrVC,Meron,Desalegn,Ermeyas,Mohammed,Ahmed,female,20020626,Dire Dawa,Addis Ketema (DD),011-114-2581
rec-00000043-aaa-0,yq/m4/t3I/eGpki,Azeb,Hayile,Shiferaw,Belete,Mohammed,female,19990908,Tigray,Mekelle,098-111-9459
rec-00000043-bbb-0,yq/m4/t3I/dGpki,Azeb,Hayile,Shiferaw,Belet,Mohammed,female,1999o908,Tigay,Mekelle,098-111-9459
rec-00000043-bbb-1,yq/m4/t3I/eGpki,Azeh,Hayil,Shiferao,Belet,Mohammed,female,19990908,Tigray,Mekelle,098-111-9459
rec-00000044-aaa-0,xr/B7/DQA/021Gm,Hadush,Arega,Legese,Atsbeha,Atomisa,male,20000119,Amhara,Baso Liben,011-655-8842
rec-00000044-bbb-0,xr/B7/DQA/021Gm,Hadush,Aregj,Lekese,Atsbeha,Atomista,male,20000119,Amhaa,Baso Liben,011-655-8842
rec-00000045-aaa-0,Wh/yD/PLe/VvHmG,Hanna,Kesesa,Gebrekidan,Woldemichael,Mewulid,female,19940911,Oromia,Dawe Serer,091-715-0980
rec-00000046-aaa-0,H6/0t/4Om/pOUBA,Shiferaw,Shewazemed,Tolosa,Wondimagegn,Dereje,male,20070710,Somali,Moyale (SM),034-507-1366
rec-00000047-aaa-0,W7/px/q2s/QxGid,Nebiyat,Muhammed,Ahmed,Beyan,Tesfamichael,male,20001114,Amhara,Lay Armacho,011-316-0796
rec-00000048-aaa-0,4z/sj/lGV/K7Wte,Aboulrezak,Argaw,Mehammed,Gelan,Luelseged,male,19990518,Somali,Kebribeyah,011-651-6583
rec-00000048-bbb-0,4z/sj/lGV/K7Wte,Aboulrezak,Arga,Mehamed,Gelan,Luelseged,male,,Somali,Kebribevah,011-651-6583
rec-00000048-bbb-1,4z/su/lGV/K7Wte,Apoulrezak,Arvaw,Mehammed,Gelan,Luelseged,male,19990518,Somcali,Kebribeyah,011-651-6583
rec-00000049-aaa-0,Xs/Cu/xCk/ZmUq4,Abera,Eshite,Haftu,Tenaw,Gebreegziabher,male,19900507,Amhara,West Belesa,057-373-6850
rec-00000050-aaa-0,GO/7x/4TE/3mHmq,Tekilegiorigis,Kedir,Abadi,Mena,Bayleyegn,male,19950930,Amhara,Awabel,011-404-6641
rec-00000050-bbb-0,GO/7x/4TE/3mHmq,Tekilegiorigist,Kedie,Abadk,Mena,Bayleyegn,male,19960930,Amhara,Awabel,011-404-6641
rec-00000051-aaa-0,eF/GK/MW6/nwQGb,Teklemariam,Anjelo,Kidanemariam,Kebede,Atsbiha,male,20090208,SNNP,Tullo,034-973-6090
rec-00000052-aaa-0,Lr/rt/N9a/yEGFe,Tibebu,Mihiret,Juhar,Manji,Gebregiorgis,male,19980412,Oromia,Goba (OR),011-114-7483
rec-00000053-aaa-0,Uz/b8/v55/u9RXr,Kebede,Woifen,Aweke,Tefera,Abebayehu,male,20060708,Tigray,Samre,011-651-2306
rec-00000054-aaa-0,zN/G0/Oi0/LaE2P,Areaya,Seid,Asegio,Tesgaye,Dejene,male,19860828,Addis Ababa,Nefas Silk,091-649-5212
rec-00000055-aaa-0,wQ/5z/fV5/1r8J0,Mekonnen,Berhanu,Tigabu,Berihun,Uma,male,20030803,Oromia,Hitosa,098-111-5540
rec-00000056-aaa-0,OV/NF/ODR/O3aqb,Virga,Desta,Belete,Ali,Tsegaye,male,19971213,Amhara,Tenta,091-465-0795
rec-00000056-bbb-0,OV/NF/ODR/O3aqb,Virga,Desda,Belete,Ali,Tsegaye,maje,10971213,Amhra,Tenta,091-465-0795
rec-00000057-aaa-0,0r/mS/oWt/YVlnJ,Workinesh,Giher,Aboulrezak,Getachew,Kidanemariam,female,20121222,Amhara,Beyeda,022-516-9610
rec-00000058-aaa-0,BU/ky/qq5/wTaT8,Kidus,Tewodros,Teklemariam,Shanko,Yosef,male,20030630,SNNP,Malie,033-504-0907
rec-00000059-aaa-0,kq/dr/PH2/yxk7W,Atakilti,Adigo,Mekonnen,Adigo,Berihun,male,19980101,Sidama,Arbegona,011-654-4486
rec-00000060-aaa-0,wC/Yu/zLe/MpzpA,Tigabu,Ageazi,Gifaw,Mafegna,Gemeda,male,19940822,Amhara,Lay Gayint,011-343-5107
rec-00000061-aaa-0,4P/7Z/k0i/fxW8j,Daniel,Workneh,Mamo,Estifanos,Mohammed,male,19980107,Oromia,Mancho,091-648-9420
rec-00000061-bbb-0,4P/7Z/k0i/fxW8j,Danil,Workneh,Mamo,Estifanos,Mohammed,male,19980107,Oroimia,,091-6e8-9420
rec-00000061-bbb-1,,Daniel,Workneh,Mamp,Estifanos,Mohammed,,19980107,Orowmia,Mancho,091-648-9420
rec-00000062-aaa-0,w8/aZ/dDK/pWHAk,Markos,Epherem,Goshu,Keleta,Gebrie,male,20030801,Oromia,Becho (SW Shewa),011-114-2608
rec-00000063-aaa-0,dR/1u/Ja4/6Dhfr,Amenti,Abo,Abreham,Gebrehanna,Debru,male,20030704,Amhara,Quarit,098-111-0786
rec-00000063-bbb-0,dR/1u/Ja4/6Dnfr,Amendi,Abo,Abreham,Gebrehanna,Debru,male,20030704,Amhaa,Qiarit,098-111-0786
rec-00000064-aaa-0,lO/kK/SLV/ym4Ph,Mesfin,Tekue,Kefeni,Woldesenbet,Gebrehiwot,male,19970416,Amhara,Kutaber,034-184-5380
rec-00000064-bbb-0,lO/kK/SLV/ym4Ph,Mesfin,Teckue,Kereni,Woldeqenbet,Gebrehiwot,malw,19970416,Amhara,Kutaber,034-184-5380
rec-00000064-bbb-1,lO/kK/SLV/ym4Ph,,Tekue,Kefeny,Woldesenbet,Gebrehiwot,male,19980416,Amhara,Kutqber,034-184-5380
rec-00000065-aaa-0,gH/a9/i7S/Jap5Y,Beshah,Kebede,Birhanu,Haste,Seid,male,20020107,Amhara,Alfa,098-119-3524
rec-00000065-bbb-0,,Beshah,Kebede,Birhanu,Hazte,Seit,male,20020107,Ambara,Alfa,098-119-3524
rec-00000066-aaa-0,Nb/9I/CCL/WK4Cr,Taye,Awol,Zehir,Argaw,Asfaw,male,19980803,Tigray,Raya Azebo,047-684-3547
rec-00000066-bbb-0,Nh/9I/CCL/WK4Cr,Taye,Awpl,Zehir,Argaw,Asfaw,male,19980803,Tiray,Rayz Azebo,047-684-3547
rec-00000067-aaa-0,4C/aj/4tS/q05mT,Desta,Ojige,Yohannes,Sebayn,Mako,male,19911226,Tigray,Welkait,011-242-6181
rec-00000068-aaa-0,Xl/zf/aBv/Jn3AS,Bihonegn,Mesfin,Abebayehu,Gebre,Bekele,male,20000620,Somali,East Imi,011-651-0742
rec-00000069-aaa-0,J6/iV/Ywo/cjXTF,Mudesir,Gebeyehu,Woyema,Asefa,Wendemu,male,20001218,Oromia,Goba Koricha,091-499-4607
rec-00000070-aaa-0,QS/3i/7t9/QFHlN,Tiiahun,Tsegay,Hailu,Getahun,Dejene,male,19950717,Oromia,Dale Wabera,091-475-5523
rec-00000071-aaa-0,Yl/yH/LEG/kGYwe,Kassaou,Balcha,Gebreegziabher,Mulat,Molla,male,20101121,Oromia,Agarfa,091-601-9554
rec-00000072-aaa-0,fY/o6/YFk/70lQT,Tesfaye,Asefa,Gebreyes,Baraki,Tibebu,male,19980319,Addis Ababa,Kirkos,047-788-1272
rec-00000072-bbb-0,fY/o6/YFk/70lQT,Tesfay,Aseva,Gebreyes,Baraki,Tibevu,male,19980319,AddisAbaba,Kirkos,047-788-1272
rec-00000073-aaa-0,Py/bI/qW7/W2P5u,Senait,Zena,Tewooros,Tekilu,Seifu,female,20040423,Afar,Asayita,011-111-3356
rec-00000074-aaa-0,8R/ag/6U3/pEFIu,Samrawit,Wasihun,Regasa,Teklemariam,Kerie,female,19891130,SNNP,Konta,091-637-3944
rec-00000074-bbb-0,8R/ag/6U3/pEFIu,Samrait,Wajihun,Regasa,Teklemariam,Kerie,female,19891130,,Kon5a,091-637-3944
rec-00000074-bbb-1,8R/ag/6U4/pEFIu,Samrawit,Wasihun,Regssa,,Kerie,female,19891130,SNNP,Konts,091-637-3944
rec-00000075-aaa-0,EW/XV/f8f/lbsqg,Fayza,Haile,Hadis,Degefa,Serkaddis,female,20000404,Oromia,Birbirsa Kojowa,011-440-6262
rec-00000076-aaa-0,mA/kQ/UI4/zhkw4,Woldecherkos,Woldemariam,Getachew,Menur,Weldesenbet,male,19961021,SNNP,Amaro,058-696-4000
rec-00000077-aaa-0,Qb/hw/BkL/Zj9mk,Tuta,Aboulrezak,Aboulrezak,Ibrahim,Wolde,male,19970817,Oromia,Kercha,025-060-6192
rec-00000078-aaa-0,m3/mt/iTE/yCwx4,Firezer,Hailemariam,Nebiyu,Goshu,Ayetenew,female,20050812,Oromia,Nejo,091-443-1713
rec-00000078-bbb-0,m3/mt/iTE/yCwx4,Fireser,Hilemariam,Nepiyu,Goshu,Ayetenew,female,20059812,Oromia,Nejo,091-443-1713
rec-00000078-bbb-1,m3/mt/iTE/yCwx4,Firezer,Hailemanam,Nepiyu,Goshu,Ayedenew,female,20050812,Oroma,Nejo,091-443-1713
rec-00000079-aaa-0,P5/uo/ln0/aX2SQ,Woldehana,Kebede,Belet,Hailemariam,Manji,male,20000202,Tigray,Tselemti,011-527-3558
rec-00000080-aaa-0,Qi/DD/zEU/bPHUo,Fisseha,Hailemariam,Desalegn,Tibebu,Temesgen,male,20041012,Oromia,Dodola,098-119-2023
rec-00000080-bbb-0,Qi/DD/xEU/bPHUo,Fisseba,Hailemariam,Desalegn,Tibebu,Temesgen,male,200410q2,Oromiav,Dodola,098-119-2023
rec-00000081-aaa-0,ZE/hX/rec/w6uS6,Assefa,Tesfu,Seyifu,Bogale,Beyene,male,19970719,Amhara,Menze Gera Midir,011-654-2796
rec-00000082-aaa-0,YI/zk/Pxs/ylkKd,Tadesse,Ali,Woldesenbet,Paulos,Belete,male,20051125,Oromia,Jimma Genete,011-651-4658
rec-00000083-aaa-0,8c/X8/nWD/8DCJe,Dimetros,Eyob,Merdokiyos,Messay,Gebremichael,male,20021019,Oromia,Sude,011-485-4912
rec-00000084-aaa-0,Fk/u6/AMi/2cbP4,Meshesha,Hailu,Tesfahun,Kibret,Tesfay,male,20040902,SNNP,Misrak Azenet Berbere,011-655-3036
rec-00000085-aaa-0,bK/yU/IJr/N2PjV,Alemu,Daniel,Kibrom,Shafi,Takele,male,19951219,Oromia,Dugda,091-796-6848
rec-00000085-bbb-0,bK/yU/IJr/N2PjV,Alemu,Daniel,Kibrom,Shafi,Takeke,male,1995q219,,Dugda,091-706-6848
rec-00000086-aaa-0,Qv/eI/kxj/Z5JPl,Abdissa,Woldeyes,Esrael,Yosef,Desalegne,male,20030629,Amhara,East Belesa,091-755-6739
rec-00000086-bbb-0,Qv/eI/kxj/Z5JPl,Abdijsa,Woldeyes,Esrael,Yosef,Desalen,,2003p629,Amhara,East Belesa,091-755-6739
rec-00000087-aaa-0,Gj/V7/Uz8/qHGX0,Wolay,Tsegaye,Tsegaye,Wegase,Woreku,male,20020218,Amhara,Jama,046-427-9918
rec-00000088-aaa-0,YZ/eg/0wg/vV5P1,Teshome,Tessema,Areaya,Fenta,Beori,male,19990317,Afar,Megale,033-524-5750
rec-00000089-aaa-0,pn/A8/ean/1CmjD,Mamo,Gebrmariam,Woldegebreal,Wuhib,Hayleabe,male,19930323,Oromia,Wenchi,091-791-1872
rec-00000090-aaa-0,m3/5E/dqN/l5hzC,Zewdu,Nahom,Muiaw,Bashaw,Hailelemeskel,male,20010112,Amhara,Angolelana Tera,011-114-7358
rec-00000091-aaa-0,kg/j8/zDJ/wsm06,Dereje,Layne,Bizuneh,Bitew,Abdulhakim,male,20010710,Amhara,Lay Gayint,091-494-3521
rec-00000091-bbb-0,,Dereje,Layn,Bizuneh,Bite,Abdulhakim,male,20010710,Amhara,,091-494-3521
rec-00000091-bbb-1,kg/j8/zDJ/wsm06,Dereje,Layn,Bizuneh,Bitwe,Abdulakim,male,20010710,Amhara,Lay Gavint,091-494-3521
rec-00000092-aaa-0,ks/xh/KmS/A9E0P,Tesgaye,Gebregiorgis,Kebede,Eshetu,Ali,male,19970614,Oromia,Wondo,011-112-6196
rec-00000093-aaa-0,Fw/gy/qtK/8j6Mh,Gebreeyesus,Gebretsadik,Yoseph,Alem,Alemneh,male,20021110,Oromia,Ana Sora,022-399-8238
rec-00000093-bbb-0,Fw/gy/qtK/8j6Mh,Gebreeyejus,Gebretsadick,Yoseph,Alem,Alemneh,male,200w1110,Or0mia,Ana Sora,022-399-8238
rec-00000094-aaa-0,zN/U0/IT1/eq9B5,Kelecha,Yikunuamlak,Mesfin,Mudesir,Estifanos,male,20060922,SNNP,Silti,047-494-2895
rec-00000095-aaa-0,aa/Ah/k4l/rFRfa,Shiferaw,Shiferaw,Goshu,Yibire,Desalegn,male,19980525,Amhara,Legambo,011-652-3970
rec-00000095-bbb-0,aa/Ah/k4l/rFRfa,Sbiferaw,Shiferaw,Goshv,Yibire,Desalegn,malr,,Amhara,Legambo,011-652-3970
rec-00000095-bbb-1,aa/Ah/k4l/rFRfa,Shiferaw,Shiferaw,Goshu,Yipire,Destalegn,msle,19980525,,Legambo,011-652-3970
rec-00000096-aaa-0,ZQ/j0/tPY/SCal4,Agiza,Eticha,Dera,Endalkachew,Kenea,male,19990129,Amhara,Bugna,046-431-0793
rec-00000096-bbb-0,ZQ/j0/tPY/SCal4,Ag9za,Eticha,Dera,Endalkaxew,,male,19990129,,Bugna,046-431-0793
rec-00000097-aaa-0,iX/wk/VPE/VCskP,Tadios,Dadi,Orecho,Tesfu,Kerie,male,19990510,Tigray,Korem town,091-495-9744
rec-00000097-bbb-0,iX/wk/VPE/VCskP,Tadios,,Orecho,Tesfv,Kerie,maoe,19990510,Tigray,Korem town,091-495-9754
rec-00000098-aaa-0,1R/WE/vZF/vGNFe,Bekelech,Solomon,Alemu,Girma,Agur,female,20030530,Oromia,Degem,034-237-9414
rec-00000099-aaa-0,Cf/Y1/4JB/0kYLp,Hagos,Woldegerima,Teklegiorgis,Demissie,Shiferaw,male,19980630,SNNP,Denba Gofa,011-655-7828
rec-00000100-aaa-0,Qa/Zt/vLj/DqzJb,Tadesse,Ayele,Ali,Gebregiorgis,Feleke,male,20031219,Sidama,Chuko town,046-038-0261
rec-00000100-bbb-0,,Tadesse,Ayele,Aii,Gebregiorgis,Felske,male,,Sidama,Chuko town,046-038-0261
rec-00000101-aaa-0,St/EW/NB0/4qWsn,Negash,Senbeta,Alem,Seyifu,Mekonnen,male,20080611,Oromia,Bedeno,011-655-8874
rec-00000102-aaa-0,C5/gL/lpE/hL90l,Tola,Estifanos,Hailemariam,Hayleabe,Jibril,male,20000208,Oromia,Adola,011-297-3955
rec-00000103-aaa-0,ac/vf/L3o/GvSAq,Chjbssa,Tigi,Kidanemariyam,Tadesse,Dema,male,19831208,SNNP,Ameka,011-652-8930
rec-00000103-bbb-0,ac/vf/L3o/GvSAq,Cjbssa,Tigy,Kitanemariyam,Tadesse,Dema,male,19831208,SNNP,Am3ka,011-652-8930
rec-00000104-aaa-0,PZ/cs/TOj/hAqx5,Oumer,Berhe,Beori,Seid,Gebrekidan,male,20000423,Dire Dawa,Malka Jabti /M.Jebdu),011-524-3287
rec-00000105-aaa-0,fZ/Vk/sUc/UZ9b4,Aberha,Etsey,Werkneh,Shiferaw,Niguma,male,20130509,Amhara,Bahir Dar town,091-131-5043
rec-00000105-bbb-0,fZ/Vk/sUc/UZ9b4,Abeahha,Etsey,Werkneh,Shiferaw,Nikuma,,20130509,Amhara,Bahir Da5 town,091-131-5043
rec-00000106-aaa-0,m8/za/oE2/lMwOi,Bekere,Yaikob,Tekle,Aoamu,Samuel,male,20000503,Amhara,Sayint,011-112-0824
rec-00000106-bbb-0,m8/za/oE2/lMwOi,Beker,Yailcob,Teckle,Aoamu,,male,20000503,Amhara,Sayint,011-112-0824
rec-00000106-bbb-1,m8/za/oE2/lMwOi,Bekere,Yaikbo,Tekl,Aoamu,Samuel,male,20009503,Amharam,Sayint,011-112-0824
rec-00000107-aaa-0,Lc/wn/quC/UBigM,Beshah,Woldesenbet,Messay,Kelecha,Jemal,male,19991207,Oromia,Cheliya,058-923-4473
rec-00000108-aaa-0,fm/yq/4FT/6dow1,Zeleke,Tenagne,Tsige,Mihiret,Mulugeta,male,20020101,Addis Ababa,Kolfe - Keran,011-112-1708
rec-00000109-aaa-0,CZ/bc/VDD/bS3V9,Abebe,Asamnew,Worku,Belet,Serkaddis,male,20011004,SNNP,North Ari,058-392-4537
rec-00000109-bbb-0,CZ/bc/VDD/bS3V9,Apebe,Asamnew,Worku,Beled,Serkaddis,male,20011004,SNNP,,048-392-4537
rec-00000109-bbb-1,CZ/bc/VDD/bS3V9,Apebe,Astamnew,Worku,Belet,Serkaddist,male,20011004,SNNP,North Ari,
rec-00000110-aaa-0,ij/Dh/6bD/teL3u,Omer,Gebre,Habtemariam,Asmelash,Tesfaye,male,20000830,Oromia,Adama town,011-431-4901
rec-00000111-aaa-0,Fy/xW/xE8/fn7dt,Getachew,Mesfin,Solomon,Tesfaw,Kebede,male,20030110,Amhara,Angolelana Tera,047-802-0041
rec-00000111-bbb-0,Fy/xW/xE8/fn7dt,Getaxew,Mestfin,Solomon,Tesraw,Kebed,male,20030110,Amhara,Angolelana Tera,047-802-0041
rec-00000111-bbb-1,Fy/xW/xE8/fn7dt,Getachdw,Mesfin,Solomon,Tesvaw,Kebed,male,20030110,Amhara,Angllelana Tera,047-802-0041
rec-00000112-aaa-0,IR/5x/uwU/Y9qGt,Yonatan,Azezew,Aberha,Abebe,Temesgen,male,20011225,Amhara,Ebenat,057-592-9432
rec-00000112-bbb-0,IR/5x/uwU/Y9qGr,Yonatan,Atsezew,Aberha,Abrbe,Temes9en,male,20011225,Amhara,Ebenat,057-592-9432
